[2024-08-31 13:00:45.672] [info]  No state version found, assuming empty state.
[2024-08-31 13:00:45.831] [info]  Coredumps are disabled in renderer process
[2024-08-31 13:00:46.846] [info]  State version: 68
[2024-08-31 13:00:46.934] [info]  Retrieving 'global_applicationId_appId' from storage, value is null
[2024-08-31 13:00:46.941] [info]  Updating 'global_applicationId_appId' from null to non-null
[2024-08-31 13:00:56.462] [info]  Retrieving 'global_applicationId_appId' from storage, value is non-null
[2024-08-31 13:01:03.985] [info]  Retrieving 'global_applicationId_appId' from storage, value is non-null
[2024-08-31 13:01:04.555] [info]  Error: No password found
[2024-08-31 13:01:08.704] [info]  Error: Object does not exist at path “/org/freedesktop/secrets/collection/login”
[2024-08-31 13:01:08.707] [info]  Error: No password found
[2024-08-31 13:01:08.709] [error] SetAccessToken: storing encrypted access token in secure storage failed. Falling back to disk storage. Error: New Access token key unable to be retrieved from secure storage.
[2024-08-31 13:01:17.726] [info]  Error: No password found
[2024-08-31 13:01:17.742] [info]  Error: No password found
[2024-08-31 13:01:17.771] [info]  Error: No password found
[2024-08-31 13:01:17.778] [info]  Error: No password found
[2024-08-31 13:01:17.779] [info]  Error: No password found
[2024-08-31 13:01:17.986] [info]  Finished search indexing
[2024-08-31 13:01:18.348] [info]  Error: No password found
[2024-08-31 13:01:19.451] [info]  Starting decryption using multithreading
[2024-08-31 13:01:19.620] [info]  Finished search indexing
[2024-08-31 13:07:37.625] [info]  State version: 68
[2024-08-31 13:07:37.630] [info]  Migrator MinVersionMigrator (to version 3) should migrate: false - up
[2024-08-31 13:07:37.630] [info]  Migrator RemoveEverBeenUnlockedMigrator (to version 4) should migrate: false - up
[2024-08-31 13:07:37.631] [info]  Migrator AddKeyTypeToOrgKeysMigrator (to version 5) should migrate: false - up
[2024-08-31 13:07:37.631] [info]  Migrator RemoveLegacyEtmKeyMigrator (to version 6) should migrate: false - up
[2024-08-31 13:07:37.631] [info]  Migrator MoveBiometricAutoPromptToAccount (to version 7) should migrate: false - up
[2024-08-31 13:07:37.631] [info]  Migrator MoveStateVersionMigrator (to version 8) should migrate: false - up
[2024-08-31 13:07:37.632] [info]  Migrator MoveBrowserSettingsToGlobal (to version 9) should migrate: false - up
[2024-08-31 13:07:37.632] [info]  Migrator EverHadUserKeyMigrator (to version 10) should migrate: false - up
[2024-08-31 13:07:37.632] [info]  Migrator OrganizationKeyMigrator (to version 11) should migrate: false - up
[2024-08-31 13:07:37.632] [info]  Migrator MoveEnvironmentStateToProviders (to version 12) should migrate: false - up
[2024-08-31 13:07:37.632] [info]  Migrator ProviderKeyMigrator (to version 13) should migrate: false - up
[2024-08-31 13:07:37.632] [info]  Migrator MoveBiometricClientKeyHalfToStateProviders (to version 14) should migrate: false - up
[2024-08-31 13:07:37.633] [info]  Migrator FolderMigrator (to version 15) should migrate: false - up
[2024-08-31 13:07:37.633] [info]  Migrator LastSyncMigrator (to version 16) should migrate: false - up
[2024-08-31 13:07:37.633] [info]  Migrator EnablePasskeysMigrator (to version 17) should migrate: false - up
[2024-08-31 13:07:37.633] [info]  Migrator AutofillSettingsKeyMigrator (to version 18) should migrate: false - up
[2024-08-31 13:07:37.633] [info]  Migrator RequirePasswordOnStartMigrator (to version 19) should migrate: false - up
[2024-08-31 13:07:37.633] [info]  Migrator PrivateKeyMigrator (to version 20) should migrate: false - up
[2024-08-31 13:07:37.633] [info]  Migrator CollectionMigrator (to version 21) should migrate: false - up
